P01901859A0000|0 60|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P11312326A0169|7 10|rev
P09400613A1209|9 12|PKR
P09257651T0000|8 10|U4
P08630583A1056|7 9|Hb
P07737508A0649|7 9|U6
P08065365A0000|9 46|U2 small nuclear ribonucleoprotein (snRNP
P03930894T0000|9 41|muscarinic acetylcholine receptors
P08331728A0686|9 40|U2 small nuclear ribonucleoprotein
P07798217T0095|8 32|glycogen synthase kinase-3
P09169853A0000|8 31|paired-type homeobox gene
P07508954A0000|10 33|biotin complex peroxidase
P05792911T0000|9 32|beta-adrenergic receptor
P10350454A0000|8 30|adenine-DNA glycosylase
P01734570T0000|9 30|thromboxane synthetase
P11279108T0000|9 28|serum response factor
P01457695T0000a|9 28|beta 2-microglobulin
P01832197T0001|9 27|D2 dopamine receptor
P01457695T0000b|9 28|beta 2-microglobulin
P09111059A0327|9 26|MAR-binding domain
P11095248A0423|9 26|mammalian proteins
P00052597T0000|9 24|immunoglobulin E
P02110148A0423|9 24|HindIII fragment
P11054571A0230|9 24|human teneurin-1
P02781495T0001|9 24|xanthine oxidase
P08625806A0263|9 23|zinc finger gene
P00812183T0000|10 24|transfer factor
P01545787A0345|9 22|human enhancer
P01404401A0740|9 22|ATPase cluster
P04423347T0001|9 22|ceruloplasmin
P11543662A0562|8 20|gstC' mutants
P04757217T0000|9 22|lipoprotein-X
P01762914A1218|9 20|uPA promoter
P06875478A0542|9 20|thyrotropin
P03582982A0000|8 18|human genes
P02844767A0596|9 19|petBD genes
P08190633A0273|9 17|AP-2 mRNA
P09473040A1303b|9 17|alcR gene
P09473040A1303a|9 17|alcR gene
P08406497A0000|9 18|fibrillin
P06784123A0771|9 15|C mu RNA
P09738693T0000|9 16|rhG-CSF
P09651367T0000|8 14|RalGDS
P09417108A0000|9 15|Htf9-a
P08441394A1297|10 16|PC-PLC
P09553143A0729|8 14|ZAP-70
P01460054A0968|10 15|ICSBP
P07713936A0393|9 14|meAda
P09858599A0392|10 15|HOXA9
P10608893A0727|9 14|Hp140
P08290278A0374|10 14|Mxi1
P08676456A0879|9 13|VP16
P10384129A0000|9 13|TCRA
P07780738A0091|8 12|Cdks
P11319880A1108|10 14|FRAP
P11040219A0548|9 13|NusA
P09584194A0000|10 13|Cas
P10799595A1454|9 12|YY1
P08927612T0000|9 12|p53
P02424743A0280|8 10|P2
P11160742A0696|8 9|R
P10391903T0000|9 58|pleckstrin homology domain-containing adapter protein
P09703021A0000|10 44|arylalkylamine N-acetyltransferases
P01333035T0000|10 40|cAMP receptor protein contact site
P11145566A0000|10 41|high-density lipoprotein receptor
P01678287A1308|10 38|human Antp TATAA binding protein
P08446579A0784|10 35|transcription factor Gal-ER
P09917555T0001|10 35|hematopoietic growth factor
P05425195T0001|10 35|aspartate aminotransferase
P07579683A0660|10 32|hGMR beta subunit mutants
P07653812T0000|11 31|acetyl cholinesterase
P01577819A0709|10 30|PRP-precursor alleles
P10488087A0340|10 28|TTF-1-binding sites
P09556566A0174|9 25|vitamin D receptor
P08618882A0343|10 25|RAR alpha mutants
P10910073A0876|10 26|PDGFbetaR fusions
P09794414T0000|9 23|protein kinase C
P08396667T0000|10 24|v-abl oncogenes
P04088733T0001|10 24|acid hydrolases
P02484994T0001|11 25|gamma globulins
P03696899T0001|10 24|erythropoietin
P07784942T0001|11 25|thrombomodulin
P02126504A0602|10 23|Rh-antibodies
P11157774A0789|11 23|dSLBP alleles
P10926776A0731|9 21|PDP1 isoforms
P07720710A0861|9 21|HMG2 proteins
P03552363A0568|11 23|serum insulin
P08934540A0673|11 22|nm23-H2 gene
P08768377A1387|10 21|hcf109 locus
P09343432A0209|9 19|ph proteins
P11112700A1936|10 21|desmoplakin
P10585453A1029|10 20|Pit-1 sites
P11309373A0783|10 19|mCTR mRNAs
P09685226A0000|9 19|calcitonin
P09515858A0000|11 20|Defensins
P09641167A1359|11 19|TNF alpha
P11800586A1090|10 18|DPPD gene
P09780336A0771|10 18|Msy2 mRNA
P07511818A0485|10 18|IFN-beta
P07926774A0652|11 19|p85cdc10
P09071407T0000|11 19|oxytocin
P08656672A0678|10 17|ufo mRNA
P02541251A1327|9 15|T2 gene
P11243336A0000|11 18|MD-55-2
P11162666A0442|11 18|insulin
P07999066A0238|9 15|HIV tat
P06748227A0423|9 14|Case 2
P07739566A1076|10 15|Pax-6
P09557708A1426|11 16|actin
P09218775A1229|10 15|palgD
P07744846A1006|10 15|Bcl-2
P08383622T0000|10 14|GABP
P08704240A1111|10 14|TF-1
P08955189A1198|10 14|NheI
P10455189A0104|9 13|HEF1
P09858577A1186|9 13|SKO1
P09259315A0809|10 14|Enh4
P10564479A0384|10 14|fdsR
P08980522A0280|9 13|cpm7
P11006283A1180|11 15|AROM
P11121043A0074|10 14|BMPs
P08647264T0000|10 14|CD40
P08550470A1021|9 13|CheW
P02179815A0582|11 14|rel
P10574992A0901|11 14|E1A
P11195401A1030|10 13|AVP
P02649445A0412|9 12|IRI
P09763446A1234|9 12|GAP
P07937132A0819|11 14|U21
P08876167A0717|10 13|CDP
P10593950A1113|10 13|WT1
P10521450A0437|10 13|Akt
P08289831A0290|10 13|mig
P07483285A0322|10 12|E6
P11456259A0142|10 43|TSH binding inhibitor immunoglobulin
P09337861T0000|10 39|human phosphoinositide 3-kinase
P09844921A0000|9 38|serine-threonine protein kinase
P08621453A0815|11 41|anti-phosphotyrosine antibodies
P08264582A0750|10 38|full-length cytoplasmic domain
P00331936T0000|11 36|anti-lymphocyte antibodies
P07064923T0000|11 35|phenylalanine hydroxylase
P11418130A0499|11 34|homologous loxP sequences
P10825200T0000|11 33|protein tyrosine kinases
P03190481A0292|10 32|alpha-naphthyl esterase
P10861086A0904|11 33|c-Src-derived construct
P03499657A0000|12 32|serum bone-Gla protein
P06735247A0803|12 32|plasma enteroglucagon
P10567538A1028|11 31|the acetyltransferase
P08768374A0765|10 27|P-rr cDNA sequences
P10669594A0000|11 29|Salmonella fimbrins
P10523640A0367|11 28|Src tyrosine kinase
P02427869A0939|12 30|beta 2-adrenoceptor
P11587514A0758|11 28|abi1-1 gene product
P09613574A0905|11 29|recombinant protein
P02850967T0000|11 28|proto-oncogene fos
P09990507A0763|12 27|Fission yeast SCF
P02062116A0688|11 27|monoamine oxidase
P08980533A1160|11 27|C-terminal region
P03033283A0837|11 26|NF1-binding loci
P08144631A0000|11 26|tyrosine kinases
P08194139A0498|12 26|Serum prolactin
P09359844A0674|10 24|HSL transcripts
P03036415T0000|11 26|cyclo-oxygenase
P02713994A0482|10 22|anti HSV type 1
P08483412A0000|10 23|nifH promoters
P00056901A0308|10 22|human albumin
P11287578A1311|11 24|interleukin-8
P09121430A1075|11 23|Y239/240F Shc
P10341219A0481|12 24|heparin lyase
P02856622T0001|10 23|thyroglobulin
P07730273A1309|10 22|NarQ proteins
P09514260A1083|10 22|small inteins
P01377962A1012|11 22|tobacco GS-2
P11027267A0752|11 22|40S ribosome
P09351242A0719|11 22|AtP5CS1 mRNA
P09089653A1112|11 22|DNA-protein
P10825294A0473|11 21|OC promoter
P00150066A0100|11 21|fibrinogen
P10224289T0000|11 20|Fas ligand
P01717994T0000|10 19|human cDNA
P08206848A0296|10 19|pyrP genes
P01377818A0468|11 20|C/EBP beta
P10702241A0357|11 20|a1 isoform
P09811730T0000|11 21|interferon
P01525153A0359|11 20|d(T2AG3T)
P10366503A1506|11 20|terminase
P08892755A0186|11 19|carp JAK1
P10913304A0894|11 19|Ets mRNAs
P09257651T0000|11 18|U6 snRNP
P11381094A0797|11 18|stonin 2
P09771967A1052|12 19|LB1 gene
P10406464A0687|11 19|mTRAP100
P09618150A1464|11 18|insulin
P08454858A0285|11 18|Ig-beta
P09726987T0000|11 18|TAFII31
P07776979A0702|11 18|COUP-TF
P08144615A0533|11 17|NF-IL6
P01708098A0922|12 18|biotin
P09020172A0964|11 17|qTBP42
P10629176A0887|11 17|CaMig1
P07588633A0362|10 15|c-Fos
P07878029A0721|10 15|CBF-A
P10675331A0600|11 16|c-Src
P09858714A1171|11 16|dda.2
P10454568A0815|11 16|Grb10
P09501982A1178|12 17|XCoe2
P08808275A1193|11 16|RAD23
P09824158A1336|10 15|BCL-6
P10438607A0330|10 15|SEBPs
P11003641A0811|11 16|Fcp1p
P10391246A0756|12 17|MOM-4
P10400593A1084|11 16|PvirE
P08999857A0801|11 16|E-box
P07607197A1048|11 16|renin
P09858531A1017|12 17|RING1
P01468625A1080|11 15|ACT1
P09891065A1493|12 16|rhoA
P08386318A1102|10 14|IL-6
P07525843A0859|11 15|H-2b
P09032259A0972|12 16|Rac1
P06287231A0914|11 15|TRP1
P07916689A0312|11 15|POT1
P08918885A1087|11 15|dig1
P10773351A0672|11 15|CD86
P09121433A0463|10 14|Rlm1
P10563836A1234|11 15|AP-2
P09199318A1147|12 16|p150
P10477748A1076|10 14|p193
P10589711A1228|11 15|narZ
P07754713A0227|10 14|NUC1
P11075944A0691|11 15|npm3
P11836303A0518|11 15|IL-6
P02162467A0311|10 14|cytR
P07883168A0090|11 15|UPF1
P09238850A0785|12 16|ICER
P07980669A0373|11 14|AVP
P11172610A0508|10 13|p73
P09523478A0572|11 14|IgM
P08106369A0000|12 15|AVP
P09368058A0969|11 14|CAK
P11150315A1126|10 13|EGF
P08099443A0359|10 13|HRI
P10602516A0182|11 14|SLK
P09093867T0000|12 14|Ac
P08144037A0000|12 14|TR
P10788480T0000|12 62|mitochondrial single-stranded DNA-binding protein gene
P10524258T0000|12 48|avian fibroblast growth factor receptor 1
P10727433T0000|12 45|urokinase plasminogen activator gene
P00227393T0000|12 46|25-hydroxyvitamin D3-24-hydroxylase
P08063775T0000|12 45|parathyroid hormone-related protein
P10727428A0000|12 44|mitogen-activated protein) kinases
P11168588T0000|12 38|herpes simplex virus type 2 US3
P10050883A0967|12 40|phosphatidylinositol-3 kinase
P09512550T0000|12 36|apolipoprotein AI enhancer
P10052371A0171|12 35|Salivary immunoglobulin A
P11432748T0000|12 33|laminin beta2 chain gene
P03992022A0330|12 34|hepatic cytochrome P-450
P07588245T0000|12 34|glucocorticoid receptor
P09773981A0415b|12 34|glucocorticoid receptor
P10358080T0000|12 32|human heat shock factor
P08864061A0000|12 31|thymidine kinase gene
P09891046A0554|11 30|ribosomal protein L18
P04843031T0000|11 32|galactosyltransferase
P10792583A0000|12 32|pituitary vasopressin
P09576230T0000|11 30|nitric oxide synthase
P10037460A0221|11 30|muscarinic receptors
P03110678A0702|12 31|beta 2-microglobulin
P08662928T0000|12 30|interleukin (IL)-10
P09635276A1608|12 29|myosin phosphatase
P01933614A0406|11 27|salmon calcitonin
P07623821T0000|12 27|Gax homeobox gene
P08105727A0099|12 28|dopamine receptor
P07876191A0808|12 26|class IV ADH mRNA
P08784787A0383|11 27|thrombin receptor
P11092886A0341|13 27|protein kinase A
P09334264A0540|13 27|calf thymus CstF
P11473254A0000|11 26|DNA endonuclease
P01907941A0275|13 24|I kappa B beta
P08276851A0347|12 25|Pay4p sequence
P10873158A0000|12 25|nuclear factor
P10406843A1265|12 25|GlcNAc-TI mRNA
P09117345A0945|12 23|alpha 4 beta 1
P09228202A0581|12 25|5-HT3 receptor
P11359907A0099|12 24|HIF-1 targets
P08617216A0584|12 24|complete DnaJ
P02462523A0394|12 24|SalI fragment
P07651398A0257|11 22|dShc protein
P08164661A0414|13 24|TFIIIC alpha
P09599102A1191|11 22|Mac1p mutant
P00986925A0002|11 21|calcitonin
P02195025T0000|12 21|yeast LEU2
P08731511A0625|11 21|fibrinogen
P02437792T0000|12 22|elastase-1
P07935468T0000|12 21|c-fos gene
P08078473A1107|12 21|ME31B cDNA
P11157784A0141|11 20|DGCR6 gene
P03001645A0785|11 20|his3 genes
P09879766A0402|11 20|E1A region
P02644735A0427|11 20|AcFP875-2
P08306959A0278|11 19|IFN gamma
P06784123A0286|12 19|C mu RNAs
P02144610A1306|11 19|beta gene
P10521509A0000|12 20|G protein
P11145563A0303|12 20|SREBP-1a
P10653359A1297|11 19|4D1-D2.1
P11313398A0687|13 21|FcalphaR
P07768824A0167|11 18|fla gene
P11469970A0873|12 19|type III
P09539746A0781|12 18|Bcl-XL
P11134351A1405|13 19|MIP-2A
P10409724A1021|12 18|ERK1/2
P07510635A0479|12 18|mAb1C2
P09837824A0419|12 18|telSMN
P11390395A1018|13 19|HMGI-C
P04746559T0053|12 17|renin
P10567582A1334|11 16|CtBP1
P09132061A0828|10 14|atp 2
P11316127A0485|11 16|HCM-I
P09434160A2078|12 17|PTPRO
P07821790A1084|12 17|UCRBP
P10551796T0000|12 17|HIV-1
P02026147A0000|11 15|Ca2+
P11297514A0218|12 16|hos1
P02174861A0736|12 16|irgA
P11084022A1178|13 17|ALK7
P11069307A0546|12 16|RNA2
P09860979A0521|12 16|p130
P11525640A0560|12 16|JNK1
P02123295A0645|12 16|ARF2
P11238375A0617|11 15|RhoA
P11114521A0282|12 16|RhoA
P10677214A1045|11 15|MutT
P09829916T0000|12 16|lacZ
P08951815A0465|12 16|ASN1
P11425877A1026|12 16|p116
P02838710A0299|11 14|NPY
P09917064T0000|11 14|p82
P08626313A1037|12 15|Msp
P09710582A0535|11 14|Rho
P07700361A0125|12 15|SH2
P10972990A0526|12 15|p53
P10903877A0879|12 15|PKA
P09389669A1009|11 14|omb
P09104816A0610|11 14|Vpu
P08230418A0812|11 14|nef
P07540773A0576|11 14|NSE
P09020138A0833|11 14|Cas
P09454735A1782|11 14|MEK
P03862898A0563|11 14|IgE
P10706688A0376|11 14|TCR
P08570615T0000|12 14|RB
P00369397A0280|11 13|LH
P08082440A0339a|10 12|LH
P10049775T0000|12 55|human Voltage-Dependent Anion Channel isoforms 1
P01347476T0000|12 55|mouse ornithine decarboxylase-related sequence
P08114702A0000|12 51|myocyte-specific enhancer-binding factor 2
P09407036T0000|13 53|calcineurin-dependent transcription factor
P01982997A1104|13 47|immediate-early transcription factor
P11012680A1020|11 36|PLCgamma inhibitory peptide
P09211354A0000|14 39|matrix metalloproteinase-3
P10891441A0871|13 37|pTyr317 Shc phosphopeptide
P10318806A0000|12 35|mitogen activated protein
P08375651T0000|13 35|clathrin heavy chain gene
P01327758A0000|13 35|bovine papillomavirus-1
P08519862T0001|13 34|anti-HCV IgM antibodies
P10633075A1111|13 34|anti-GalT Fab fragments
P02146266A0000|13 34|BamHI-HindIII fragment
P10490843A0159|12 31|POZ/Zn finger protein
P07799931A1232|12 30|Maf-related protein
P09165039A1372|13 30|marmoset monkey LHR
P10532805A0792|12 29|nerve growth factor
P09522979T0000|14 31|foetal fibronectin
P08030243A1011|12 28|NS35-specific RNA
P11044097A0422|13 28|recombinant HMG I
P08189503A0000|11 26|full-length cDNA
P11356853A0873|12 27|AP-1 superfamily
P11278594A0618|13 28|human propeptide
P11108151A0560|13 28|fibronectin mRNA
P09121774T0000|11 25|small GTPase Rac
P07592647T0000|13 26|human Pur alpha
P01899846A0862|13 27|rbcL-rbcS locus
P07730337A1439|12 26|PKC-gamma genes
P07500386A0870|12 25|GapIII protein
P08395004A0141|12 25|spt2 mutations
P07835088A0238|12 23|HSD3B2 genes
P08356792A1275|13 24|p21X protein
P06328012A0549|13 24|EBNA protein
P07530502T0000|14 25|Steel factor
P00528144T0000|11 22|transferrin
P08120019A1500|13 23|Hm1 mutants
P09570133A0474|12 23|DNA-protein
P11003669A0000|12 21|rat gene 33
P10329586A0414|12 23|fibronectin
P02324104A0516|12 21|C subunits
P10422291A0572|12 21|IgA lambda
P11602353A0770|13 22|HNF-3 beta
P07916003A0688|12 21|mouse gene
P01657249A1019|12 20|anti-i CA
P11160307A0394|13 22|wH22xeGFP
P07753027A0240|12 21|psbB-psbT
P09371626A1345|12 21|replicase
P10681562A0263|12 21|PPARgamma
P07758459A1277|11 19|AAC2 gene
P02164588A0266|13 20|HN genes
P09759865A0673|13 21|IL-1beta
P07958898A1050|14 22|dTFIIA-L
P09174049A1788|14 21|p34CDC2
P09917389A1239|12 18|RNase E
P09514156A1147|13 19|DNase I
P09735371A0227|13 19|unc-86
P09712859A1110|12 18|NF-ATp
P01309894A0807|12 17|Rep68
P09915798A1077|12 17|hsp90
P09032233T0000|13 18|Ets-1
P08649773A1374|12 17|BCL-6
P08940134A0705|11 16|v-crk
P01850105A1093|12 17|c-myc
P10518496A0952|13 18|vHnf1
P07595374A1215|12 17|EBNA2
P09525891T0000|12 17|meis1
P10891286A0000|12 17|titin
P09864141A0528|12 17|Stat3
P01353478T0000|13 18|H-2Eb
P01423454A0309|13 17|ANCA
P08264579A1209|12 16|PTR2
P07624119A0528|12 16|PAX3
P11278583A0873|13 17|SNT1
P07563072A0773|13 17|rrnB
P11149472A1257|13 17|NMP4
P10938135A0259|12 16|SMRT
P09452444A0000|14 18|IL-6
P10747782A0390|13 17|Mbp1
P10022867A1069b|13 17|ETH1
P11557127A0991|13 17|NF-Y
P08626809A0729|14 18|pPKR
P09315651T0000|13 17|AP-2
P07521009A0377|13 17|pms1
P11439343A0785|12 16|MPc3
P09478921A0126|13 17|p210
P10022867A1069a|13 17|ETH1
P01661369A0825|13 17|strD
P00947834X0000|13 16|IgE
P09426183A0000|13 16|Rel
P07828584A0681|13 16|IM1
P10454533A0859|13 16|HRI
P08164684A1266|12 15|RXR
P02204810A1080|12 15|GA2
P09131139T0000|13 16|PAF
P09121430A0132|13 16|Ras
P11046148A0716|13 16|Lyn
P10068637A1320|14 17|Csx
P08868473A1287|13 16|p28
P09348226A0852|14 17|EGF
P10660304A0522|12 15|JAK
P01736093A0731|14 17|CAT
P08605705A0676|13 16|IgM
P01420363T0000|13 16|AP1
P09649426A0636|14 17|PKA
P07925097A1205|14 16|AR
P07491111A0221|12 14|GR
P09011745T0000|13 87|chick brain alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptors
P10736161T0000|12 55|phosphoenolpyruvate:sugar phosphotransferase
P06096380A0662|13 54|cytosolic phosphoenolpyruvate carboxykinase
P07594592A0755|13 42|NF-IL6 beta leucine zipper domain
P03280807A1447|13 43|suf12-null/SUF12+ heterozygotes
P04990556T0000|14 42|horse anti-lymphocyte globulin
P02326946T0000|15 41|cholesterol acyltransferase
P11161793A1033|13 38|truncated receptor isoforms
P09733815T0000|13 36|latent membrane protein 2A
P07935375A1197|13 37|dominant-negative ras gene
P11083868A0386|13 37|glutathione S-transferase
P01400401A0065|13 33|AMP deaminase variants
P00001606T0076|14 34|alkaline phosphatases
P08001136T0000|14 34|CDK-activating kinase
P09668098A0868|13 32|human FGF-BP promoter
P00030937A0119|13 32|alkaline phosphatase
P10516878T0000|14 32|dopamine D2 receptor
P09797456A0000|14 33|c-myc proto-oncogene
P10527426A0521|12 30|SBEI gene transcript
P09042755T0000|14 31|sigma factor sigmaB
P07876210A0751|13 30|P450BM-3 Barbie box
P08386280T0000|13 30|C/EBP binding sites
P07579328A0653|14 29|CAT reporter gene
P03692331A0000|12 29|beta-adrenoceptor
P09533030T0000|13 27|human complex II
P06810694A0328|13 28|HDL-cholesterol
P10458914A0674|13 26|mouse STAP gene
P07947930A0499|14 27|serum proteins
P07478525A1177|13 26|MHBst proteins
P00304806A0760|12 25|serum alpha1AT
P11391531A1157|13 26|NF-kappaB site
P09837907A0857|13 25|TNF receptors
P05529283T0000|14 25|exocrine IgA
P01723962A0165|13 24|serum lipase
P02674679A1237|12 22|S1 nuclease
P11056019A0926|12 23|glycosylase
P07779811A0901|13 23|Sp1 element
P07761091A0294|14 24|MAP kinases
P09620273A0189|13 22|Rb protein
P10918059A0569|13 22|RVH domain
P11486476A1512|14 23|troponin T
P09315631A1064|13 21|POR2 gene
P08432696A1117|13 21|apeA gene
P02324104A0929|13 21|C subunit
P09259313A0950|13 21|PI kinase
P08550462A0815|13 20|dra gene
P01850096A0662|14 22|myogenin
P10805286A0914|12 19|PCI mRNA
P11462004A0886|12 18|Vp1 DBD
P10777217A0536|14 21|p73beta
P03682805A0375|13 20|albumin
P08631797A0982|14 20|ErbB-2
P07816049A0686|14 20|AKin10
P02843495A0544|14 19|v-fms
P09435789A0961a|14 19|RAD24
P11133741A0617|15 20|MCP-1
P01582413A0759|14 19|Myf-5
P02998016A0527|13 18|v-mil
P10505694A0000|15 20|IL-12
P07623844A0639|14 19|Bcl-2
P07559555A0557|13 18|c-Jun
P02555177A0488|14 18|LEU2
P08278548A0597|13 17|psaH
P09489670A1157|13 17|HST6
P09537651A0366|13 17|PEA3
P10722661A0406|13 17|CYC2
P08001792A0284|13 17|git5
P09925372A0458|13 17|ZFPs
P10471696A0734|13 17|SAS4
P10320579A1831|13 17|FlgN
P10713161A0985|14 18|Ulp2
P09572428A0526|14 18|VEGF
P02557217A0000|15 19|ACTH
P09407031A0557|13 17|Crb2
P11470914A0305|13 17|Rac1
P09514272A0482|14 18|MvaT
P11318608A1155|14 18|EGFP
P11319880A1108|15 19|mTOR
P09918715A1158|13 17|MotA
P02209540A1362|14 18|Ets1
P08566773A1023|13 17|CTS1
P07800479A0201|13 17|NSR1
P07695629A0489|13 17|mck1
P07705627A1107|13 16|Mad
P10543728A0358|14 17|E1A
P07592706A1465|13 16|LPL
P08321203A0840|13 16|p50
P09765388T0000|14 17|p53
P09757012A0942|13 16|PDZ
P08876167A0717|14 17|cut
P09671579A1168|13 16|noi
P10489680A0927|13 16|MPO
P09662339A0744|13 16|ras
P00603783A0647|13 16|IgG
P08212571A0971|13 16|gag
P09642276A0881|13 16|Fak
P09645942A1164|12 15|Dsg
P08774732A0271|13 16|Sp1
P08289831A0290|14 17|CAT
P09000049A1341|13 16|Mnt
P09706565A1072|14 15|M
P07914700A0000|13 49|RNA-dependent eIF-2 alpha protein kinase
P06833422T0000|15 36|20 alpha-hydroxy-9 beta
P02967915A0968|14 36|calbindin-D28K promoter
P08621659A0189|14 35|NH2-terminal Gla domain
P11025367A1009|15 36|plasma cholecystokinin
P08497259A0452|13 33|SUP4A53T61 transcript
P07537851A0891|15 34|recombinant proteins
P02565807A1198|14 31|neu proto-oncogene
P10347197A0502|14 31|urokinase promoter
P03989827T0000|14 31|lactase phenotypes
P09430668A0172a|14 29|HMG-CoA synthase
P07875595A0910|14 28|PITSLRE PK genes
P05567721T0000|15 30|thromboplastins
P09018122A1389|14 28|ORF-1 sequences
P08630599A0534|14 28|elastin peptide
P10455183A0530|14 28|xtRNA(Sec) gene
P09891092A1000|13 27|Sm-binding site
P08599945T0000|14 28|alpha-amanitin
P10683244A0939|14 27|NBF1+R protein
P02353453A1249|13 26|helicase motif
P09188699A1388|14 26|SP-A isoforms
P11157763T0000|14 26|EMAPII domain
P10228009A0600|14 26|CINC promoter
P10487753A0788|14 26|XDRP1 protein
P01828248A0189|15 26|UvrA protein
P06152670T0000|15 27|pancreozymin
P01371413A0742|14 24|hGCSFR gene
P10224257A0079|13 23|her-1 mRNAs
P01674817T0000|14 24|yeast RNA14
P03280807A0000|14 24|suf12 locus
P00985279A0493|15 25|hemoglobin
P03814493T0000|15 25|interferon
P08129955A0572|14 23|troponin T
P07706396T0000|14 23|VPS45 gene
P07559639A0996|14 22|R206S HSF
P11093745A0563|15 23|HNF3 site
P10051488A1610|14 22|AP-1 site
P08325504A0226|14 22|RD21 mRNA
P07846163A0422|13 21|GRF genes
P10660604A0748|15 23|RXRalpha
P10490816A0000|14 21|RET gene
P01276105A0313|14 21|insulin
P07540866A1069|14 21|insulin
P08603921A1346|16 23|Spc110p
P09545293A0590|12 19|lumican
P01378052A0594|14 21|acoXABC
P03046931A0247|13 19|eIF-4A
P09756895A0322|14 20|chCTCF
P02307850A1197|14 20|RNKP-1
P03911052A0909|14 20|DIL-CP
P09305944A0621|14 20|RanGAP
P01429836A1205|13 18|Vps1p
P11094072A1234|14 19|c-Myb
P08570615T0000|15 20|E2F-1
P09862343A0225|13 18|gp200
P09012405A0785|15 20|TTD-A
P08420571A1880|14 19|PACE4
P08955189A1198|15 20|BglII
P08034486A0579|14 19|HSV-2
P08063836A0904|14 19|c-Abl
P07814321A0850|14 18|prfA
P10831972A0744|15 19|CD23
P11222720A1699|14 18|RPMS
P09927570A0507|13 17|RNU2
P08836740A1025|14 18|CES4
P08978690A0262|15 19|Rad3
P08763953A0805|14 18|traA
P01446828A1088|13 17|ADH5
P00917572T0001|14 17|TSH
P08139539A0446|13 16|m1R
P09647240A0000|14 17|p53
P09541280A0404|15 18|IgE
P08702756A0000|14 17|Rho
P11006283A1180|16 19|p64
P08082440A0339a|13 16|FSH
P08825554A0000|16 19|TTP
P09553040A0651|14 17|Epo
P08622645A1026|15 18|VDR
P09261155A0833|15 17|PH
P07926775A0895|13 15|en
P07513703T0000|15 55|SH2-containing protein tyrosine phosphatase
P09705564T0000|15 50|human papillomavirus type 11 E5A protein
P09851700A0000|15 51|human tissue-type plasminogen activator
P02883963A0000|15 48|human T-cell lymphotropic virus type I
P06321770A1353|15 47|chloramphenicol acetyltransferase
P09115365A0000|15 42|human heat shock protein 70 gene
P08649424A0000|15 43|phenylalanine hydroxylase gene
P07534306A0444|16 42|His6-tagged GrsA derivatives
P00918556A0000|15 39|hepatitis B surface antigen
P07522163T0000|15 38|horse cytochrome c peptide
P08887674A0630|14 38|DMP1 recognition sequences
P06795900A0000|14 38|fatty acid cyclo-oxygenase
P09501093A0071|15 38|mitogen activated protein
P02187871T0000|14 37|Saccharomyces cerevisiae
P09373155T0000|16 37|dynein heavy chain genes
P08887678A0000|15 37|proapoptotic protein Bax
P08619866A0000|15 37|hepatocyte growth factor
P01333047A0404|14 35|epidermal growth factor
P08621664A1430|16 37|neurofilament L protein
P11350812A0829|15 35|Raf-1 target ERK kinase
P08759870A1128|14 34|fbpA operator sequence
P01904546A0671|15 34|chromosomal AAR1 gene
P09792439T0000|15 34|apolipoprotein B mRNA
P06938948T0001|15 35|serum immunoglobulins
P02237431A0000|15 33|human T cell receptor
P01378506A0884|16 35|full-deletion mutant
P07576307A1654|16 34|ENK-specific motifs
P08035505A0586|15 33|NS3'-5B polyprotein
P01717833T0000|15 31|alpha inhibin gene
P10477583A0000a|16 31|B cell Ag receptor
P10477583A0000b|16 31|B cell Ag receptor
P03891766A1473|16 32|rheumatoid factor
P08254738A0428|14 29|mutant T antigens
P06890622A0067|16 32|anti-vasopressor
P07977648A0880|15 30|TP53 transcripts
P10477545T0000|15 29|pertussis toxin
P07748493A1045|16 30|Aplysia Afurin2
P01398140A0488|16 29|Xenopus U7 gene
P08861963A0375b|16 30|RNA polymerases
P08530432A0093|14 28|mutant proteins
P09372924A0758|16 30|rhHR23 proteins
P11152963A0000|15 27|src homology 3
P08670910A0156|15 27|DNA ligase III
P10723723A0781|16 29|mouse promoter
P01714452A0559|15 27|human protein
P09655248A0000|17 29|LRP-2 protein
P10601335A0892|16 28|mannosidase I
P08707424A0709|15 26|ERV3 env mRNA
P11251104A0526|15 28|alpha-amylase
P07588628A0318|16 28|wild-type p53
P09787323A0000|15 28|interleukin-6
P07697294A0329|14 25|HSP81-1 mRNA
P09307065A0553|14 24|MHC class II
P10512857A0000|15 27|beta-catenin
P08576042A0765|16 27|HrcA protein
P07629150A0155|15 26|CYP11A1 gene
P09154822T0000|15 26|Raf-1 kinase
P09132011A0298|15 26|p50 sequence
P09087430A1046|15 25|U1A peptide
P07790377A0561|15 25|human PTS1R
P11207216A0719|15 25|PGHS-2 mRNA
P09525598A0325|15 24|Raf kinase
P07806492A1162|15 24|cucumisin
P02164637A0515|15 23|IRA2 gene
P01542667A0125|15 24|IFN-gamma
P10488147A1176|16 25|eotaxin-3
P10409656A1016|16 24|H411 cDNA
P10403575A1401|15 23|StAR gene
P10318859A0535|14 23|calpeptin
P09197408A0126|15 23|facB gene
P11134033A0639|15 24|int6Delta
P08683106A0374|15 24|IFN-alpha
P00618078A0367|14 22|lysozyme
